country,country_code,year,illiteracy_rate,literacy_rate
afghanistan,AFG,2011,69.0,31.0
afghanistan,AFG,2015,66.246155,33.75384
afghanistan,AFG,2021,63.0,37.0
albania,ALB,2001,1.0,99.0
albania,ALB,2008,4.0,96.0
albania,ALB,2011,3.0,97.0
albania,ALB,2012,3.0,97.0
albania,ALB,2017,1.1837692,98.81623
algeria,DZA,2002,30.0,70.0
algeria,DZA,2006,27.0,73.0
algeria,DZA,2008,25.0,75.0
angola,AGO,2001,33.0,67.0
angola,AGO,2014,34.0,66.0
angola,AGO,2015,33.764137,66.23586
antigua and barbuda,ATG,2001,1.0,99.0
argentina,ARG,1991,4.0,96.0
argentina,ARG,2001,3.0,97.0
armenia,ARM,2001,1.0,99.0
armenia,ARM,2011,0.0,100.0
armenia,ARM,2016,0.0,100.0
armenia,ARM,2017,0.0,100.0
armenia,ARM,2020,0.0,100.0
armenia,ARM,2022,0.17500305,99.825
aruba,ABW,2000,3.0,97.0
aruba,ABW,2010,3.0,97.0
azerbaijan,AZE,1999,1.0,99.0
azerbaijan,AZE,2007,0.0,100.0
azerbaijan,AZE,2009,0.0,100.0
azerbaijan,AZE,2010,0.0,100.0
azerbaijan,AZE,2011,0.0,100.0
azerbaijan,AZE,2012,0.0,100.0
azerbaijan,AZE,2013,0.0,100.0
azerbaijan,AZE,2014,0.0,100.0
azerbaijan,AZE,2015,0.0,100.0
azerbaijan,AZE,2016,0.0,100.0
azerbaijan,AZE,2017,0.0,100.0
azerbaijan,AZE,2019,0.0,100.0
azerbaijan,AZE,2023,0.0,100.0
bahrain,BHR,1991,16.0,84.0
bahrain,BHR,2001,13.0,87.0
bahrain,BHR,2022,2.0,98.0
bahrain,BHR,2023,2.0,98.0
bangladesh,BGD,1991,65.0,35.0
bangladesh,BGD,2001,53.0,47.0
bangladesh,BGD,2011,41.0,59.0
bangladesh,BGD,2012,42.0,58.0
bangladesh,BGD,2013,39.0,61.0
bangladesh,BGD,2014,39.0,61.0
bangladesh,BGD,2015,35.0,65.0
bangladesh,BGD,2016,27.0,73.0
bangladesh,BGD,2017,27.0,73.0
bangladesh,BGD,2018,26.0,74.0
bangladesh,BGD,2019,25.0,75.0
bangladesh,BGD,2020,25.0,75.0
bangladesh,BGD,2021,24.0,76.0
bangladesh,BGD,2022,21.0,79.0
belarus,BLR,1999,0.0,100.0
belarus,BLR,2009,0.0,100.0
belarus,BLR,2019,0.0,100.0
belize,BLZ,1991,30.0,70.0
belize,BLZ,2015,9.0839615,90.91604
benin,BEN,1992,73.0,27.0
benin,BEN,2002,65.0,35.0
benin,BEN,2017,61.12879,38.87121
benin,BEN,2019,51.00172,48.99828
benin,BEN,2021,56.16583,43.83417
benin,BEN,2022,48.62123,51.37877
bhutan,BTN,2005,47.0,53.0
bhutan,BTN,2012,45.0,55.0
bhutan,BTN,2017,33.0,67.0
bolivia,BOL,1992,20.0,80.0
bolivia,BOL,2001,13.0,87.0
bolivia,BOL,2007,9.0,91.0
bolivia,BOL,2008,9.0,91.0
bolivia,BOL,2009,9.0,91.0
bolivia,BOL,2011,8.0,92.0
bolivia,BOL,2012,6.0,94.0
bolivia,BOL,2015,8.0,92.0
bolivia,BOL,2020,6.0,94.0
bosnia and herzegovina,BIH,1991,11.0,89.0
bosnia and herzegovina,BIH,2000,3.0,97.0
bosnia and herzegovina,BIH,2013,3.0,97.0
botswana,BWA,1991,31.0,69.0
botswana,BWA,2003,19.0,81.0
brazil,BRA,2000,14.0,86.0
brazil,BRA,2004,11.0,89.0
brazil,BRA,2006,10.0,90.0
brazil,BRA,2007,10.0,90.0
brazil,BRA,2008,10.0,90.0
brazil,BRA,2009,10.0,90.0
brazil,BRA,2010,10.0,90.0
brazil,BRA,2011,9.0,91.0
brazil,BRA,2012,9.0,91.0
brazil,BRA,2013,9.0,91.0
brazil,BRA,2014,8.0,92.0
brazil,BRA,2015,8.0,92.0
brazil,BRA,2016,7.0,93.0
brazil,BRA,2017,7.0,93.0
