country,country_code,year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,region
afghanistan,AFG,2011,31.0,62.0,32.0,Asia
afghanistan,AFG,2015,33.75384,57.73505,25.48416,Asia
afghanistan,AFG,2021,37.0,71.0,42.0,Asia
afghanistan,AFG,2022,82.15758,83.4,44.17171,Asia
albania,ALB,2001,99.0,99.0,99.0,Europe
albania,ALB,2005,82.15758,94.4,99.49,Europe
albania,ALB,2008,96.0,99.0,99.0,Europe
albania,ALB,2009,82.15758,94.82,96.61,Europe
albania,ALB,2011,97.0,99.0,99.0,Europe
albania,ALB,2012,97.0,99.0,99.0,Europe
albania,ALB,2017,98.81623,98.58999,99.52556,Europe
algeria,DZA,2002,70.0,94.0,86.0,Africa
algeria,DZA,2006,73.0,94.0,89.0,Africa
algeria,DZA,2008,75.0,96.0,92.0,Africa
algeria,DZA,2019,82.15758,64.79,97.9897,Africa
angola,AGO,2001,67.0,84.0,63.0,Africa
angola,AGO,2014,66.0,85.0,71.0,Africa
angola,AGO,2015,66.23586,83.96919,67.4276,Africa
antigua and barbuda,ATG,2001,99.0,94.4,93.59,Unknown
argentina,ARG,1991,96.0,98.0,99.0,South America
argentina,ARG,2001,97.0,99.0,99.0,South America
armenia,ARM,2000,82.15758,100.0,100.0,Asia
armenia,ARM,2001,99.0,100.0,100.0,Asia
armenia,ARM,2011,100.0,100.0,100.0,Asia
armenia,ARM,2016,100.0,100.0,100.0,Asia
armenia,ARM,2017,100.0,100.0,100.0,Asia
armenia,ARM,2020,100.0,100.0,100.0,Asia
armenia,ARM,2022,99.825,99.64871,99.91656,Asia
aruba,ABW,2000,97.0,99.0,99.0,North America
aruba,ABW,2010,97.0,99.0,99.0,North America
azerbaijan,AZE,1999,99.0,100.0,100.0,Asia
azerbaijan,AZE,2006,82.15758,100.0,100.0,Asia
azerbaijan,AZE,2007,100.0,100.0,100.0,Asia
azerbaijan,AZE,2009,100.0,100.0,100.0,Asia
azerbaijan,AZE,2010,100.0,100.0,100.0,Asia
azerbaijan,AZE,2011,100.0,100.0,100.0,Asia
azerbaijan,AZE,2012,100.0,100.0,100.0,Asia
azerbaijan,AZE,2013,100.0,100.0,100.0,Asia
azerbaijan,AZE,2014,100.0,100.0,100.0,Asia
azerbaijan,AZE,2015,100.0,100.0,100.0,Asia
azerbaijan,AZE,2016,100.0,100.0,100.0,Asia
azerbaijan,AZE,2017,100.0,100.0,100.0,Asia
azerbaijan,AZE,2019,100.0,100.0,100.0,Asia
azerbaijan,AZE,2023,100.0,100.0,100.0,Asia
bahrain,BHR,1991,84.0,97.0,97.0,Asia
bahrain,BHR,2001,87.0,97.0,97.0,Asia
bahrain,BHR,2022,98.0,99.0,99.0,Asia
bahrain,BHR,2023,98.0,99.0,99.0,Asia
bangladesh,BGD,1991,35.0,52.0,38.0,Asia
bangladesh,BGD,2000,82.15758,100.0,100.0,Asia
bangladesh,BGD,2001,47.0,67.0,60.0,Asia
bangladesh,BGD,2006,82.15758,94.4,87.2,Asia
bangladesh,BGD,2007,82.15758,90.51,77.09,Asia
bangladesh,BGD,2011,59.0,76.0,80.0,Asia
bangladesh,BGD,2012,58.0,76.0,79.0,Asia
bangladesh,BGD,2013,61.0,84.0,87.0,Asia
bangladesh,BGD,2014,61.0,85.0,86.0,Asia
bangladesh,BGD,2015,65.0,86.0,90.0,Asia
bangladesh,BGD,2016,73.0,91.0,94.0,Asia
bangladesh,BGD,2017,73.0,92.0,94.0,Asia
bangladesh,BGD,2018,74.0,92.0,95.0,Asia
bangladesh,BGD,2019,75.0,94.0,96.0,Asia
bangladesh,BGD,2020,75.0,93.0,96.0,Asia
bangladesh,BGD,2021,76.0,94.0,96.0,Asia
bangladesh,BGD,2022,79.0,92.0,94.0,Asia
barbados,BRB,2012,82.15758,100.0,100.0,North America
belarus,BLR,1999,100.0,100.0,100.0,Europe
belarus,BLR,2005,82.15758,94.4,99.98,Europe
belarus,BLR,2009,100.0,100.0,100.0,Europe
belarus,BLR,2012,82.15758,100.0,100.0,Europe
belarus,BLR,2019,100.0,100.0,100.0,Europe
belize,BLZ,1991,70.0,77.0,78.0,North America
belize,BLZ,2006,82.15758,94.4,95.13,North America
belize,BLZ,2011,82.15758,94.4,96.6,North America
belize,BLZ,2015,90.91604,97.82818,98.07905,North America
benin,BEN,1992,27.0,55.0,27.0,Africa
benin,BEN,2001,82.15758,61.08,31.85,Africa
benin,BEN,2002,35.0,59.0,33.0,Africa
benin,BEN,2006,82.15758,72.07,39.53,Africa
benin,BEN,2017,38.87121,66.79979,50.98536,Africa
benin,BEN,2019,48.99828,76.35444,62.76271,Africa
benin,BEN,2021,43.83417,70.96799,59.18644,Africa
benin,BEN,2022,51.37877,74.60011,67.93813,Africa
bhutan,BTN,2005,53.0,80.0,68.0,Asia
bhutan,BTN,2010,82.15758,94.4,63.34,Asia
bhutan,BTN,2012,55.0,90.0,82.0,Asia
bhutan,BTN,2017,67.0,93.0,93.0,Asia
bolivia,BOL,1992,80.0,96.0,92.0,South America
bolivia,BOL,2000,82.15758,98.4,96.3,South America
bolivia,BOL,2001,87.0,98.2,96.5,South America
bolivia,BOL,2002,82.15758,99.1,97.1,South America
bolivia,BOL,2003,82.15758,99.47,96.67,South America
bolivia,BOL,2004,82.15758,99.6,98.6,South America
bolivia,BOL,2005,82.15758,99.3,98.4,South America
bolivia,BOL,2006,82.15758,99.4,97.4,South America
bolivia,BOL,2007,91.0,99.8,99.1,South America
bolivia,BOL,2008,91.0,99.4,99.0,South America
bolivia,BOL,2009,91.0,99.7,99.1,South America
bolivia,BOL,2011,92.0,99.3,98.8,South America
bolivia,BOL,2012,94.0,99.5,99.2,South America
bolivia,BOL,2013,82.15758,99.5,99.2,South America
bolivia,BOL,2014,82.15758,99.7,99.2,South America
bolivia,BOL,2015,92.0,99.4,99.4,South America
bolivia,BOL,2016,82.15758,99.5,99.3,South America
bolivia,BOL,2017,82.15758,99.4,99.3,South America
bolivia,BOL,2018,82.15758,99.7,99.4,South America
bolivia,BOL,2019,82.15758,99.7,99.4,South America
bolivia,BOL,2020,94.0,99.6,99.5,South America
bolivia,BOL,2021,82.15758,99.5,99.5,South America
bosnia and herzegovina,BIH,1991,89.0,99.0,99.0,Europe
bosnia and herzegovina,BIH,2000,97.0,100.0,100.0,Europe
bosnia and herzegovina,BIH,2006,82.15758,94.4,99.82,Europe
bosnia and herzegovina,BIH,2013,97.0,100.0,100.0,Europe
botswana,BWA,1991,69.0,86.0,92.0,Africa
botswana,BWA,2003,81.0,92.0,96.0,Africa
brazil,BRA,2000,86.0,93.0,96.0,South America
brazil,BRA,2001,82.15758,94.7,96.9,South America
